academic_year,region_czso_id,region_name,url_czso,url_json
2014,3069,Ústecký kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3069,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3069"","
2014,3077,Liberecký kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3077,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3077"","
2014,3085,Královéhradecký kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3085,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3085"","
2014,3093,Pardubický kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3093,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3093"","
2014,3107,Kraj Vyso?ina,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3107,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3107"","
2014,3115,Jihomoravský kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3115,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3115"","
2014,3123,Olomoucký kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3123,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3123"","
2014,3131,Zlínský kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3131,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3131"","
2014,3140,Moravskoslezský kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3140,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2014&u=v23__VUZEMI__100__3140"","
2015,3018,Hlavní m?sto Praha,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3018,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3018"","
2015,3026,St?edo?eský kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3026,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3026"","
2015,3034,Jiho?eský kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3034,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3034"","
2015,3042,Plze?ský kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3042,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3042"","
2015,3051,Karlovarský kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3051,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3051"","
2015,3069,Ústecký kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3069,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3069"","
2015,3077,Liberecký kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3077,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3077"","
2015,3085,Královéhradecký kraj,https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3085,"""https://vdb.czso.cz/vdbvo2/faces/cs/index.jsf?page=vystup-objekt&z=T&f=TABULKA&pvo=VZD16b&c=v3~15__RP2015&u=v23__VUZEMI__100__3085"","
